author,category,comments,content,likes,misinformation_risk,sentiment,timestamp
Linda H.,events,4,Can someone help me understand the local news? Any information would be helpful.,7,,neutral,2025-07-15 05:35:28
Steven L.,classifieds,0,I'm wondering about the school district updates.,13,,neutral,2025-07-28 14:26:28
Sarah M.,local-news,14,I just wanted to share how wonderful the neighborhood association has been! It's been such a positive experience for everyone involved.,44,,positive,2025-07-16 00:43:28
Robert C.,events,0,I'm curious about the community meetings.,12,,neutral,2025-07-17 18:54:28
Nicole R.,local-news,8,This is why I love living here - the neighborhood cleanup day! It's been such a positive experience for everyone involved. I hope we can continue this great work!,39,,positive,2025-07-22 15:05:28
Sarah M.,crime-safety,10,This the late night disturbances is affecting our quality of life. I'm at my wit's end with this.,17,,negative,2025-08-12 14:03:28
William R.,local-news,9,Thank you to everyone who helped with the community pool! It's been such a positive experience for everyone involved.,11,,positive,2025-07-20 20:02:28
Richard D.,noise-complaints,2,Why is the community conflicts still happening? This has been going on for too long. Can we please find a solution? I'm at my wit's end with this.,11,,negative,2025-07-29 00:17:28
Steven L.,general,12,I'm disappointed with the rule violations. This has been going on for too long.,4,,negative,2025-07-25 02:53:28
Daniel P.,neighborhood-watch,16,I'm concerned about the parking situation in our neighborhood.,8,,negative,2025-07-17 00:15:28
Robert C.,general,22,This is getting out of hand - the safety hazards. This has been going on for too long. Can we please find a solution?,3,,negative,2025-07-16 17:40:28
Steven L.,general,4,Amazing work on the new community garden - thank you! It's been such a positive experience for everyone involved.,30,,positive,2025-08-03 14:06:28
Maria L.,events,4,I'm curious about the city policies. Thanks in advance!,14,,neutral,2025-07-22 18:28:28
William R.,recommendations,3,I'm so happy about the neighborhood cleanup day - great job everyone!,13,,positive,2025-08-02 04:25:28
Christopher M.,general,9,I'm curious about the neighborhood history. Any information would be helpful.,3,,neutral,2025-07-20 09:22:28
Kevin B.,general,7,I'm so grateful for the local events in our neighborhood.,12,,positive,2025-08-06 10:28:28
Amanda F.,general,0,I'm so grateful for the community pool in our neighborhood.,9,,positive,2025-08-04 13:38:28
Emma W.,events,3,I'm so grateful for the neighborhood association in our neighborhood.,14,,positive,2025-08-01 18:30:28
Daniel P.,local-news,6,I'm so happy about the recycling program - great job everyone! It's been such a positive experience for everyone involved.,39,,positive,2025-07-14 14:13:28
Maria L.,events,4,Thank you to everyone who helped with the new community garden!,27,,positive,2025-07-22 13:07:28
Joseph C.,general,2,Thank you to everyone who helped with the community pool! I hope we can continue this great work!,43,,positive,2025-07-26 14:14:28
Christopher M.,local-news,1,Does anyone know about the zoning changes? Thanks in advance!,5,,neutral,2025-08-03 07:58:28
Maria L.,noise-complaints,24,Why is the neighbor disputes still happening?,8,,negative,2025-07-18 01:01:28
Elizabeth S.,general,0,This the rule violations is affecting our quality of life. This has been going on for too long.,2,,negative,2025-07-15 22:04:28
Steven L.,local-news,1,This is why I love living here - the community pool!,45,,positive,2025-07-31 08:36:28
Christopher M.,general,2,Kudos to the neighborhood watch program - you're making our community better! I hope we can continue this great work!,43,,positive,2025-07-14 15:49:28
Tom B.,crime-safety,4,Why is the security concerns still happening? This has been going on for too long.,3,,negative,2025-07-28 16:12:28
Elizabeth S.,noise-complaints,20,This the safety hazards is affecting our quality of life. This has been going on for too long.,5,,negative,2025-08-07 20:43:28
David K.,events,9,I'm trying to figure out the traffic patterns. Any information would be helpful.,3,,neutral,2025-08-05 07:00:28
James W.,classifieds,2,I noticed the community meetings - any thoughts?,8,,neutral,2025-07-22 10:02:28
Jessica L.,local-news,12,I love how our neighborhood the recycling program!,30,,positive,2025-08-07 07:53:28
Maria L.,events,14,I'm so happy about the street lighting - great job everyone!,25,,positive,2025-07-15 03:10:28
Daniel P.,events,1,What a great community we have! the neighborhood cleanup day,15,,positive,2025-08-02 16:22:28
Robert C.,general,24,I'm disappointed with the maintenance issues.,8,,negative,2025-07-29 20:06:28
Robert C.,neighborhood-watch,7,WARNING: the utility company policies - the government is hiding something! Do your own research! Don't trust what they tell you! This is just the beginning of what they're hiding! Share this with everyone you know!,9,high,negative,2025-08-05 06:31:28
Daniel P.,general,6,Kudos to the community pool - you're making our community better!,24,,positive,2025-07-15 15:59:28
Michelle J.,noise-complaints,18,Something needs to be done about the street maintenance.,14,,negative,2025-07-22 08:04:28
Daniel P.,general,9,I noticed the emergency procedures - any thoughts?,0,,neutral,2025-08-11 01:52:28
Daniel P.,recommendations,10,I'm so happy about the local events - great job everyone! It's been such a positive experience for everyone involved.,45,,positive,2025-07-30 16:31:28
Jessica L.,local-news,2,This is why I love living here - the community newsletter!,41,,positive,2025-07-16 08:56:28
John D.,events,7,Does anyone know about the community meetings?,8,,neutral,2025-07-28 04:36:28
William R.,neighborhood-watch,22,Something needs to be done about the neighbor disputes. This has been going on for too long.,7,,negative,2025-07-13 19:00:28
Joseph C.,local-news,14,Thank you to everyone who helped with the neighborhood cleanup day! It's been such a positive experience for everyone involved.,27,,positive,2025-07-22 02:56:28
John D.,local-news,5,I just wanted to share how wonderful the holiday decorations has been!,26,,positive,2025-07-21 15:39:28
Nicole R.,crime-safety,6,This is getting out of hand - the maintenance issues. I'm at my wit's end with this.,7,,negative,2025-08-12 11:08:28
Sarah M.,general,15,Thank you to everyone who helped with the community newsletter! I hope we can continue this great work!,41,,positive,2025-07-22 19:35:28
Jennifer H.,neighborhood-watch,19,This the property maintenance situation is unacceptable.,15,,negative,2025-08-07 19:51:28
Michelle J.,recommendations,1,Kudos to the holiday decorations - you're making our community better!,5,,positive,2025-07-18 03:19:28
James W.,crime-safety,22,Something needs to be done about the noise complaints.,11,,negative,2025-07-16 10:54:28
Rachel S.,general,2,This is why I love living here - the community newsletter!,35,,positive,2025-08-04 08:11:28
Sarah M.,neighborhood-watch,9,This is getting out of hand - the noise from construction. This has been going on for too long. Can we please find a solution?,3,,negative,2025-07-23 23:22:28
Rachel S.,events,7,What do you think about the zoning changes? Any information would be helpful.,1,,neutral,2025-07-28 11:50:28
Rachel S.,recommendations,4,Thank you to everyone who helped with the local events!,16,,positive,2025-08-04 08:30:28
Robert C.,neighborhood-watch,15,Something needs to be done about the street maintenance. This has been going on for too long. Can we please find a solution?,8,,negative,2025-08-11 03:08:28
William R.,events,12,What a great community we have! the walking trails It's been such a positive experience for everyone involved. I hope we can continue this great work!,20,,positive,2025-07-17 06:59:28
Patricia K.,local-news,2,What's the deal with the weather alerts? Any information would be helpful.,2,,neutral,2025-07-26 00:13:28
Richard D.,general,18,I'm tired of dealing with the property damage. I'm at my wit's end with this.,17,,negative,2025-07-28 03:32:28
Joseph C.,events,3,Our community is the best because of the local businesses!,22,,positive,2025-07-18 10:02:28
Michael S.,local-news,2,I'm so grateful for the community center in our neighborhood. I hope we can continue this great work!,14,,positive,2025-08-08 06:51:28
Rachel S.,events,9,This is why I love living here - the community newsletter!,35,,positive,2025-07-19 20:06:28
Mike T.,general,2,This is why I love living here - the playground improvements!,50,,positive,2025-07-18 10:37:28
Lisa R.,local-news,6,Our community is the best because of the neighborhood association! It's been such a positive experience for everyone involved.,6,,positive,2025-07-21 03:18:28
Sarah M.,general,7,What a great community we have! the local farmers market I hope we can continue this great work!,35,,positive,2025-08-09 16:59:28
John D.,local-news,15,Amazing work on the local events - thank you!,43,,positive,2025-07-26 04:21:28
Amanda F.,recommendations,3,What a great community we have! the street lighting,19,,positive,2025-07-23 11:38:28
Patricia K.,classifieds,9,Does anyone know about the local events?,6,,neutral,2025-07-31 15:12:28
William R.,noise-complaints,14,I'm really frustrated with the maintenance issues. Can we please find a solution?,0,,negative,2025-07-25 23:04:28
Tom B.,recommendations,10,I'm so grateful for the street lighting in our neighborhood.,22,,positive,2025-08-03 23:58:28
Tom B.,general,9,This is why I love living here - the neighborhood cleanup day! It's been such a positive experience for everyone involved. I hope we can continue this great work!,49,,positive,2025-08-01 06:49:28
Richard D.,crime-safety,13,ALERT: the new development plans - the authorities are covering this up! Do your own research! Don't trust what they tell you! This is just the beginning of what they're hiding! Share this with everyone you know!,0,high,negative,2025-08-07 10:33:28
David K.,crime-safety,3,This the property maintenance is affecting our quality of life. This has been going on for too long. Can we please find a solution?,13,,negative,2025-07-16 23:17:28
Daniel P.,events,1,I'm looking for information on the community guidelines. Any information would be helpful.,15,,neutral,2025-08-04 09:43:28
Sarah M.,noise-complaints,13,Why is the rule violations still happening? Can we please find a solution?,8,,negative,2025-08-02 14:24:28
Alex P.,general,4,Thank you to everyone who helped with the neighborhood cleanup day!,24,,positive,2025-07-28 05:37:28
Richard D.,local-news,3,What a great community we have! the neighborhood cleanup day,6,,positive,2025-07-20 03:03:28
Tom B.,general,7,Can someone help me understand the new development plans?,0,,neutral,2025-07-26 00:10:28
Mike T.,general,17,Can we please address the parking situation? Can we please find a solution? I'm at my wit's end with this.,11,,negative,2025-07-19 16:22:28
Michael S.,general,7,I'm so grateful for the neighborhood cleanup day in our neighborhood. It's been such a positive experience for everyone involved.,30,,positive,2025-07-15 18:23:28
Daniel P.,events,7,What do you think about the city policies?,14,,neutral,2025-07-30 23:05:28
Nicole R.,recommendations,10,Our community is the best because of the neighborhood association!,27,,positive,2025-07-16 10:47:28
Michelle J.,events,7,Does anyone know about the local events?,9,,neutral,2025-08-01 22:27:28
Michael S.,general,23,I'm really frustrated with the neighbor disputes.,3,,negative,2025-08-05 09:00:28
Kevin B.,classifieds,2,I'm curious about the traffic patterns.,3,,neutral,2025-08-03 13:23:28
Patricia K.,general,17,This is getting out of hand - the noise from construction.,0,,negative,2025-07-23 21:26:28
Joseph C.,crime-safety,19,This is getting out of hand - the property damage. This has been going on for too long. Can we please find a solution? I'm at my wit's end with this.,13,,negative,2025-08-05 14:40:28
Amanda F.,events,7,I'm so grateful for the local farmers market in our neighborhood. It's been such a positive experience for everyone involved. I hope we can continue this great work!,47,,positive,2025-08-01 19:38:28
Michael S.,neighborhood-watch,23,Can we please address the parking situation? Can we please find a solution?,5,,negative,2025-07-15 07:14:28
James W.,general,3,What's the deal with the traffic patterns?,12,,neutral,2025-08-03 16:07:28
Elizabeth S.,general,11,What a great community we have! the walking trails,28,,positive,2025-07-25 18:10:28
Lisa R.,crime-safety,28,ATTENTION: the water quality in our area - this is the truth they don't want you to hear! Share this with everyone you know!,6,high,negative,2025-07-19 12:30:28
Richard D.,neighborhood-watch,16,I'm tired of dealing with the security concerns. I'm at my wit's end with this.,1,,negative,2025-08-04 11:08:28
Barbara M.,events,9,What's the deal with the community meetings? Any information would be helpful.,6,,neutral,2025-07-27 07:58:28
Maria L.,general,14,I'm really frustrated with the neighbor disputes.,10,,negative,2025-07-22 11:28:28
Joseph C.,recommendations,10,I love how our neighborhood the local farmers market! It's been such a positive experience for everyone involved.,30,,positive,2025-07-26 11:58:28
John D.,general,23,I'm concerned about the safety hazards in our neighborhood.,9,,negative,2025-08-01 01:07:28
Sarah M.,local-news,3,What do you think about the local events? Thanks in advance!,1,,neutral,2025-07-25 12:43:28
Michelle J.,neighborhood-watch,24,NOTICE: the school district changes - this is what's really happening! This is just the beginning of what they're hiding! Share this with everyone you know!,8,high,negative,2025-08-05 04:09:28
John D.,local-news,6,Our community is the best because of the community newsletter! It's been such a positive experience for everyone involved.,38,,positive,2025-07-23 10:47:28
Daniel P.,recommendations,3,I'm so happy about the local events - great job everyone!,34,,positive,2025-08-03 10:37:28
Linda H.,recommendations,7,Kudos to the holiday decorations - you're making our community better! It's been such a positive experience for everyone involved.,12,,positive,2025-07-18 17:13:28
Mike T.,noise-complaints,13,Something needs to be done about the noise from construction. This has been going on for too long. Can we please find a solution?,12,,negative,2025-07-28 18:30:28
James W.,general,10,Thank you to everyone who helped with the street lighting!,41,,positive,2025-07-17 22:01:28
Mike T.,general,0,I'm so grateful for the neighborhood cleanup day in our neighborhood. It's been such a positive experience for everyone involved.,41,,positive,2025-08-11 22:29:28
Michael S.,noise-complaints,16,I'm disappointed with the street maintenance. This has been going on for too long.,14,,negative,2025-07-15 03:39:28
Alex P.,classifieds,2,I'm curious about the upcoming elections.,11,,neutral,2025-08-03 23:23:28
Linda H.,neighborhood-watch,28,URGENT: the new development plans - they don't want you to know this! Do your own research! Don't trust what they tell you!,4,high,negative,2025-08-02 07:32:28
Tom B.,general,5,This is why I love living here - the playground improvements!,34,,positive,2025-08-09 10:54:28
Michael S.,neighborhood-watch,8,NOTICE: the utility company policies - this is what's really happening! Do your own research! Don't trust what they tell you!,3,high,negative,2025-08-11 23:14:28
Michelle J.,general,0,I'm disappointed with the communication problems. This has been going on for too long.,17,,negative,2025-07-26 20:44:28
Tom B.,neighborhood-watch,20,Can we please address the rule violations? Can we please find a solution? I'm at my wit's end with this.,7,,negative,2025-08-09 21:22:28
Richard D.,local-news,7,What a great community we have! the community center I hope we can continue this great work!,33,,positive,2025-08-02 20:15:28
Robert C.,local-news,8,I love how our neighborhood the local events!,33,,positive,2025-07-15 21:42:28
Jessica L.,recommendations,15,Our community is the best because of the community center!,24,,positive,2025-08-07 19:56:28
Richard D.,local-news,5,Our community is the best because of the new community garden!,22,,positive,2025-07-14 19:55:28
Patricia K.,local-news,1,I love how our neighborhood the playground improvements! It's been such a positive experience for everyone involved.,48,,positive,2025-07-29 20:20:28
Kevin B.,events,4,Does anyone know about the traffic patterns? Any information would be helpful.,9,,neutral,2025-07-30 02:49:28
John D.,local-news,20,NOTICE: the school district changes - this is what's really happening! Do your own research! Don't trust what they tell you! Share this with everyone you know!,6,high,negative,2025-07-23 21:09:28
Sarah M.,events,15,Our community is the best because of the community pool!,45,,positive,2025-07-24 02:12:28
Kevin B.,events,5,Amazing work on the community pool - thank you! It's been such a positive experience for everyone involved.,9,,positive,2025-07-14 13:16:28
Lisa R.,general,22,Can we please address the neighbor disputes?,9,,negative,2025-07-30 15:41:28
Daniel P.,noise-complaints,14,This is getting out of hand - the garbage collection schedule. I'm at my wit's end with this.,3,,negative,2025-07-26 01:04:28
Barbara M.,local-news,10,I'm trying to figure out the neighborhood changes.,13,,neutral,2025-07-19 17:41:28
Elizabeth S.,general,13,Why is the neighbor disputes still happening? Can we please find a solution?,16,,negative,2025-07-20 11:52:28
Daniel P.,local-news,10,What's the deal with the neighborhood changes?,4,,neutral,2025-08-08 23:19:28
John D.,events,8,Amazing work on the holiday decorations - thank you! It's been such a positive experience for everyone involved.,9,,positive,2025-07-30 20:36:28
Christopher M.,events,10,I'm so grateful for the neighborhood association in our neighborhood. It's been such a positive experience for everyone involved.,27,,positive,2025-08-01 19:35:28
Tom B.,events,2,Kudos to the new community garden - you're making our community better!,21,,positive,2025-08-07 23:13:28
Emma W.,events,13,What a great community we have! the community newsletter,41,,positive,2025-07-15 23:45:28
Elizabeth S.,recommendations,9,Amazing work on the local farmers market - thank you!,20,,positive,2025-08-07 02:47:28
Nicole R.,general,8,Thank you to everyone who helped with the playground improvements!,8,,positive,2025-07-20 01:56:28
Barbara M.,general,4,Thank you to everyone who helped with the playground improvements!,35,,positive,2025-08-04 15:09:28
Kevin B.,local-news,4,Has anyone noticed the zoning changes?,0,,neutral,2025-07-22 12:48:28
Mike T.,crime-safety,4,Something needs to be done about the safety hazards.,19,,negative,2025-08-08 12:11:28
Nicole R.,local-news,10,I'm trying to figure out the upcoming elections. Any information would be helpful.,11,,neutral,2025-07-28 10:33:28
Sarah M.,recommendations,6,What a great community we have! the street lighting,11,,positive,2025-08-06 03:58:28
Michelle J.,events,3,I'm trying to figure out the community guidelines. Thanks in advance!,11,,neutral,2025-08-12 08:51:28
Emma W.,noise-complaints,8,This is getting out of hand - the neighbor disputes. I'm at my wit's end with this.,2,,negative,2025-07-29 04:12:28
Jessica L.,general,14,I just wanted to share how wonderful the holiday decorations has been! It's been such a positive experience for everyone involved. I hope we can continue this great work!,25,,positive,2025-07-20 03:19:28
Kevin B.,local-news,6,I just wanted to share how wonderful the recycling program has been! It's been such a positive experience for everyone involved.,14,,positive,2025-07-15 00:45:28
Patricia K.,noise-complaints,19,This the noise from construction situation is unacceptable. Can we please find a solution? I'm at my wit's end with this.,20,,negative,2025-07-25 15:23:28
Patricia K.,events,2,What's the deal with the new development plans?,8,,neutral,2025-08-09 00:36:28
Mike T.,noise-complaints,25,Why is the neighbor disputes still happening? I'm at my wit's end with this.,5,,negative,2025-08-12 04:28:28
Kevin B.,neighborhood-watch,18,Can we please address the rule violations? I'm at my wit's end with this.,16,,negative,2025-07-29 13:10:28
Joseph C.,general,0,ALERT: the local government decisions - this is a conspiracy! Share this with everyone you know!,6,high,negative,2025-07-13 01:17:28
Maria L.,events,0,I'm trying to figure out the community guidelines.,2,,neutral,2025-07-26 16:01:28
Steven L.,neighborhood-watch,0,This the security concerns is affecting our quality of life. This has been going on for too long.,11,,negative,2025-07-23 17:17:28
Amanda F.,neighborhood-watch,23,I'm concerned about the safety hazards in our neighborhood. This has been going on for too long. Can we please find a solution?,16,,negative,2025-08-09 02:38:28
Joseph C.,neighborhood-watch,4,Something needs to be done about the neighbor disputes. This has been going on for too long.,7,,negative,2025-08-03 14:10:28
William R.,local-news,16,ALERT: the property tax increases - this is a conspiracy!,8,high,negative,2025-08-02 12:14:28
John D.,classifieds,8,I'm trying to figure out the new development plans. Thanks in advance!,13,,neutral,2025-07-13 11:04:28
Christopher M.,local-news,2,Kudos to the local events - you're making our community better! It's been such a positive experience for everyone involved.,17,,positive,2025-07-24 13:09:28
Michelle J.,recommendations,0,Amazing work on the neighborhood association - thank you! It's been such a positive experience for everyone involved. I hope we can continue this great work!,10,,positive,2025-07-16 04:03:28
Elizabeth S.,events,13,This is why I love living here - the new community garden! It's been such a positive experience for everyone involved.,28,,positive,2025-07-18 19:06:28
John D.,local-news,14,Our community is the best because of the community newsletter! It's been such a positive experience for everyone involved.,43,,positive,2025-07-25 02:41:28
Christopher M.,events,5,What a great community we have! the local businesses,40,,positive,2025-07-22 07:50:28
Kevin B.,local-news,2,Has anyone noticed the community guidelines? Any information would be helpful. Thanks in advance!,13,,neutral,2025-08-12 02:32:28
David K.,local-news,12,What a great community we have! the community pool,49,,positive,2025-08-10 00:12:28
Jennifer H.,general,20,Can we please address the rule violations? This has been going on for too long.,16,,negative,2025-08-05 23:53:28
Tom B.,crime-safety,6,This the property maintenance is affecting our quality of life.,12,,negative,2025-07-30 02:30:28
James W.,general,9,I'm wondering about the school district updates. Any information would be helpful. Thanks in advance!,0,,neutral,2025-08-09 08:03:28
Nicole R.,events,12,Amazing work on the local businesses - thank you!,7,,positive,2025-07-23 00:42:28
James W.,general,7,Amazing work on the neighborhood cleanup day - thank you! It's been such a positive experience for everyone involved.,41,,positive,2025-07-18 16:13:28
Ashley T.,crime-safety,25,I'm tired of dealing with the property damage.,11,,negative,2025-07-15 03:35:28
Christopher M.,events,5,I just wanted to share how wonderful the walking trails has been!,29,,positive,2025-08-06 08:34:28
David K.,events,8,Has anyone noticed the new development plans?,11,,neutral,2025-08-07 08:41:28
Ashley T.,neighborhood-watch,18,I'm disappointed with the parking situation.,18,,negative,2025-08-11 13:02:28
Tom B.,crime-safety,19,ALERT: the community association rules - this is a conspiracy! Do your own research! Don't trust what they tell you! Share this with everyone you know!,1,high,negative,2025-07-17 15:26:28
Richard D.,local-news,10,ALERT: the property tax increases - this is a conspiracy! This is just the beginning of what they're hiding! Share this with everyone you know!,4,high,negative,2025-07-15 12:18:28
Tom B.,events,9,Thank you to everyone who helped with the new community garden! I hope we can continue this great work!,19,,positive,2025-07-18 17:39:28
John D.,noise-complaints,24,I'm tired of dealing with the garbage collection schedule.,4,,negative,2025-07-14 13:47:28
William R.,neighborhood-watch,1,I'm really frustrated with the maintenance issues. This has been going on for too long.,17,,negative,2025-07-22 12:31:28
Sarah M.,general,0,ATTENTION: the property tax increases - this is the truth they don't want you to hear! Do your own research! Don't trust what they tell you! Share this with everyone you know!,4,high,negative,2025-07-19 13:24:28
Mike T.,neighborhood-watch,0,ATTENTION: the water quality in our area - this is the truth they don't want you to hear! Do your own research! Don't trust what they tell you!,3,high,negative,2025-08-02 06:48:28
Tom B.,recommendations,13,I'm so happy about the neighborhood watch program - great job everyone! I hope we can continue this great work!,46,,positive,2025-07-14 19:08:28
Alex P.,recommendations,11,This is why I love living here - the community center!,41,,positive,2025-07-25 19:27:28
Tom B.,noise-complaints,23,I'm concerned about the property damage in our neighborhood. This has been going on for too long. Can we please find a solution?,19,,negative,2025-07-28 13:29:28
William R.,events,11,Thank you to everyone who helped with the new community garden! It's been such a positive experience for everyone involved.,9,,positive,2025-07-31 00:47:28
Christopher M.,general,9,Our community is the best because of the community pool!,9,,positive,2025-07-14 10:07:28
Michelle J.,general,15,I just wanted to share how wonderful the neighborhood cleanup day has been! It's been such a positive experience for everyone involved. I hope we can continue this great work!,46,,positive,2025-07-31 01:41:28
Elizabeth S.,neighborhood-watch,25,Can we please address the noise from construction?,7,,negative,2025-08-04 09:33:28
Michelle J.,crime-safety,11,I'm concerned about the safety hazards in our neighborhood. This has been going on for too long. I'm at my wit's end with this.,6,,negative,2025-08-03 17:55:28
Elizabeth S.,events,5,Kudos to the community newsletter - you're making our community better! It's been such a positive experience for everyone involved.,33,,positive,2025-08-01 07:41:28
Jessica L.,neighborhood-watch,13,Something needs to be done about the late night disturbances. Can we please find a solution?,19,,negative,2025-08-02 20:56:28
Linda H.,classifieds,10,Does anyone know about the neighborhood history? Any information would be helpful.,9,,neutral,2025-07-30 00:09:28
William R.,events,10,I'm curious about the utility work. Thanks in advance!,2,,neutral,2025-07-31 02:10:28
Barbara M.,neighborhood-watch,5,Why is the property maintenance still happening? Can we please find a solution?,13,,negative,2025-08-09 18:53:28
Lisa R.,local-news,10,Has anyone noticed the community guidelines? Any information would be helpful. Thanks in advance!,0,,neutral,2025-07-14 09:56:28
Christopher M.,recommendations,9,I'm so grateful for the neighborhood association in our neighborhood. I hope we can continue this great work!,26,,positive,2025-08-10 15:01:28
Lisa R.,events,10,I love how our neighborhood the neighborhood watch program! I hope we can continue this great work!,20,,positive,2025-08-09 05:37:28
Elizabeth S.,neighborhood-watch,14,This the security concerns is affecting our quality of life.,7,,negative,2025-08-10 11:12:28
Sarah M.,events,6,I'm so grateful for the local farmers market in our neighborhood.,50,,positive,2025-08-09 11:14:28
Jennifer H.,neighborhood-watch,24,Something needs to be done about the parking situation. I'm at my wit's end with this.,18,,negative,2025-07-23 06:02:28
Rachel S.,general,21,I'm concerned about the rule violations in our neighborhood. Can we please find a solution?,10,,negative,2025-07-20 02:54:28
Lisa R.,events,8,Thank you to everyone who helped with the local events!,32,,positive,2025-07-20 19:44:28
Rachel S.,general,20,I'm disappointed with the garbage collection schedule. This has been going on for too long. I'm at my wit's end with this.,6,,negative,2025-07-30 13:09:28
Amanda F.,general,3,Kudos to the new community garden - you're making our community better!,7,,positive,2025-08-12 19:18:28
Robert C.,local-news,12,I'm so happy about the local farmers market - great job everyone!,7,,positive,2025-07-31 23:11:28
William R.,crime-safety,0,Something needs to be done about the property maintenance. This has been going on for too long. I'm at my wit's end with this.,9,,negative,2025-08-04 21:01:28
Steven L.,local-news,3,This is why I love living here - the local events!,10,,positive,2025-07-30 14:54:28
Barbara M.,noise-complaints,5,I'm disappointed with the rule violations. Can we please find a solution?,2,,negative,2025-07-16 20:21:28
Ashley T.,general,21,This is getting out of hand - the security concerns.,5,,negative,2025-08-02 00:03:28
William R.,local-news,4,I'm looking for information on the utility work.,10,,neutral,2025-08-06 03:24:28
Michael S.,noise-complaints,10,Why is the community conflicts still happening? Can we please find a solution?,16,,negative,2025-08-10 20:50:28
Michael S.,general,10,I just wanted to share how wonderful the local businesses has been!,38,,positive,2025-08-10 06:57:28
Patricia K.,recommendations,14,What a great community we have! the playground improvements It's been such a positive experience for everyone involved.,6,,positive,2025-07-31 23:44:28
David K.,classifieds,9,I'm looking for information on the neighborhood changes. Any information would be helpful.,12,,neutral,2025-08-08 11:08:28
Jessica L.,general,4,I just wanted to share how wonderful the street lighting has been!,14,,positive,2025-07-25 05:09:28
Richard D.,local-news,6,I'm trying to figure out the utility work.,2,,neutral,2025-08-04 20:06:28
Elizabeth S.,local-news,6,Has anyone noticed the neighborhood changes?,12,,neutral,2025-08-12 06:02:28
Maria L.,neighborhood-watch,5,This is getting out of hand - the neighbor disputes. This has been going on for too long.,3,,negative,2025-07-13 19:05:28
Mike T.,general,0,I'm tired of dealing with the communication problems.,18,,negative,2025-08-05 02:35:28
Jessica L.,local-news,4,I'm wondering about the neighborhood history. Any information would be helpful.,1,,neutral,2025-07-24 13:35:28
Alex P.,general,15,This is why I love living here - the neighborhood watch program! I hope we can continue this great work!,40,,positive,2025-07-13 22:28:28
Amanda F.,neighborhood-watch,21,I'm concerned about the communication problems in our neighborhood. Can we please find a solution?,19,,negative,2025-07-19 23:49:28
Maria L.,local-news,4,I'm curious about the neighborhood changes. Any information would be helpful.,4,,neutral,2025-07-31 21:05:28
Michael S.,general,4,I'm so grateful for the local events in our neighborhood.,13,,positive,2025-07-24 07:46:28
Elizabeth S.,general,2,I'm really frustrated with the late night disturbances. This has been going on for too long. Can we please find a solution? I'm at my wit's end with this.,2,,negative,2025-07-21 14:08:28
Michelle J.,recommendations,12,I love how our neighborhood the community pool! It's been such a positive experience for everyone involved.,10,,positive,2025-08-01 12:27:28
Robert C.,general,22,This the noise complaints situation is unacceptable. This has been going on for too long.,6,,negative,2025-07-16 06:14:28
Kevin B.,local-news,8,I'm curious about the school district updates. Thanks in advance!,13,,neutral,2025-08-02 04:20:28
Sarah M.,classifieds,9,Does anyone know about the utility work?,0,,neutral,2025-07-18 08:40:28
Michael S.,local-news,0,I love how our neighborhood the neighborhood cleanup day!,50,,positive,2025-08-10 11:56:28
Sarah M.,recommendations,6,I just wanted to share how wonderful the community center has been!,30,,positive,2025-07-29 18:48:28
Tom B.,neighborhood-watch,16,I'm disappointed with the noise from construction. This has been going on for too long.,11,,negative,2025-08-07 17:50:28
Steven L.,general,8,I'm so grateful for the playground improvements in our neighborhood.,10,,positive,2025-08-09 17:20:28
Sarah M.,noise-complaints,14,This the rule violations is affecting our quality of life.,7,,negative,2025-08-08 20:15:28
Lisa R.,events,0,Does anyone know about the neighborhood history?,15,,neutral,2025-07-25 19:30:28
John D.,local-news,9,This is why I love living here - the community center! It's been such a positive experience for everyone involved. I hope we can continue this great work!,31,,positive,2025-07-26 19:41:28
Linda H.,recommendations,15,I just wanted to share how wonderful the street lighting has been!,39,,positive,2025-07-24 09:59:28
James W.,classifieds,4,What's the deal with the community guidelines? Thanks in advance!,8,,neutral,2025-08-08 14:21:28
James W.,general,8,Thank you to everyone who helped with the community newsletter!,23,,positive,2025-07-24 01:05:28
William R.,general,4,I'm so grateful for the local events in our neighborhood.,8,,positive,2025-07-30 12:04:28
Lisa R.,general,6,I noticed the neighborhood history - any thoughts? Thanks in advance!,4,,neutral,2025-08-11 11:46:28
Nicole R.,local-news,2,EMERGENCY: the school district changes - they're lying to us! Share this with everyone you know!,2,high,negative,2025-07-27 09:50:28
Maria L.,general,11,Thank you to everyone who helped with the holiday decorations!,14,,positive,2025-08-07 22:46:28
Robert C.,neighborhood-watch,28,ALERT: the local government decisions - this is a conspiracy! Share this with everyone you know!,0,high,negative,2025-07-27 04:10:28
Richard D.,neighborhood-watch,11,This is getting out of hand - the parking situation. This has been going on for too long.,15,,negative,2025-07-26 17:15:28
Elizabeth S.,general,6,What's the deal with the community guidelines?,15,,neutral,2025-07-19 16:34:28
Steven L.,classifieds,10,I noticed the neighborhood history - any thoughts?,4,,neutral,2025-07-22 00:53:28
Nicole R.,general,28,NOTICE: the local government decisions - this is what's really happening! Do your own research! Don't trust what they tell you! This is just the beginning of what they're hiding!,7,high,negative,2025-08-04 11:21:28
Emma W.,local-news,1,Thank you to everyone who helped with the new community garden! I hope we can continue this great work!,9,,positive,2025-07-26 21:27:28
Daniel P.,recommendations,12,What a great community we have! the community center,19,,positive,2025-07-25 21:30:28
